gene
IGLV2-11
MIS18A
IGLV7-43
GPR144
HTR3B
PER3
LRRC15
COL17A1
PRDM6
GPR18
FKSG68
ZNF521
DENND6B
SLCO4A1
FAM86C1
IGSF8
PKD1L1
BARX1
IGHV3-72
OR5D13
ITGAD
ZNF529
LRRC63
PTK6
AKIP1
MRGPRX3
PTH2
CXXC11
TBX3
NCOA2
CPNE9
HIC2
ZNF561
HEPHL1
PXMP2
AFAP1L1
ZNF34
TPSD1
AL590867.1
TCF7L2
ADCYAP1R1
FBXO34
LIPN
HLA-B
IGFN1
INPP5K
RABL6
EMP3
MSI1
NREP
IGLV5-45
DFFA
PPFIBP2
GPR115
RP11-683L23.1
SFI1
PDE4B
DMXL1
SHC1
DOCK6
SERPINA1
BCAM
URB1
ARHGAP25
TMTC4
ADAMTS10
ARHGEF40
CYP24A1
KRTAP10-1
C5orf60
IGSF9
COL5A1
CYP2E1
FAM47C
NEFH
OLFML2A
OFD1
HCN2
CSF2RA
PLIN4
USP6NL
CUBN
WNK1
TCEB3B
SLC36A3
RNF186
UCK1
DLK1
DISP2
ITGB1
EGFLAM
SLC12A9
ATP10A
ASPM
PRDM15
ALOX15B
SAP130
DCAF13
CEBPB
CD209
ROBO1
ZC3H4
L3MBTL4
PLEKHG5
IGHMBP2
ZNF248
PCM1
C9orf47
FLRT2
PDE5A
NOTCH2
CCDC88C
COL6A1
IFNA4
PLA2G4D
OR52L1
LOX
THSD1
NUAK1
MFSD6L
KIAA0319L
SRPK3
UBASH3A
C9orf62
MAMDC4
CASP7
ATG2A
C2CD3
IGKV2-30
TMEM175
ZNF281
PCDHB14
CNKSR1
NDRG2
DHX33
HLA-DPB1
CDK11B
CROCC
UBXN11
APLF
HOOK2
SLC6A1
ZSWIM2
MYRIP
PRUNE2
PPAP2C
PHACTR1
BMP2K
SLC6A11
ZC3H10
R3HDM4
AL590452.1
RREB1
IGLV3-27
OR2T11
LRRN1
IQGAP3
CCL23
SAMD1
SLC25A33
TH
FAM228A
RAB19
CHPT1
MLLT10
TDRD6
GNRH2
IGHJ3
SYNE1
CYP11B2
MUC16
AMN
DNAH3
FAM120B
ZNF724P
TSC2
FMN2
QSOX1
KPNA7
KIR3DL1
ZNF317
FAR1
ANKEF1
PRRX1
HFE
PTCD3
KCNK16
BLACE
POTEF
ZNF878
BRAT1
EDN3
TMEM200A
ARHGAP23
MED25
SYNM
MUM1
HIST1H4K
ALDH16A1
C15orf27
NECAB2
ST6GALNAC5
INHBE
SAMSN1
ANKMY2
STK38L
WNT11
LHB
IGHV1-8
IGHV1-18
FAM230A
SMIM17
ZNF229
GOLGB1
CMTM4
ZNF335
ABCG4
GLIS1
USP10
ANK2
ALPK3
KRT37
CARHSP1
TRBV7-3
DCTD
PCDHB17
ZNF321P	ZNF816
B3GNT8
CBR1
ERBB4
ZNF23
UBE2C
KIAA1522
PRB2
ATP13A2
SPEN
ZNF705G
ANKRD36
PNLIPRP3
EEF1D
ZNF607
CCDC40
GEM
HAO2
SHPRH
SPATA31E1
OBP2B
MICA
EPCAM
CAMK2B
C8orf47
SDS
SLC38A10
FAM57B
RASAL1
NOL3
SRP72
TTN
FCGBP
AC104057.1
AC004381.6
KDM8
ZNF771
DMRT3
ANO7
TRPM8
RBMXL3
OR2G6
SRA1
SH2D1A
ZNF783
TARBP1
MTMR1
HIST1H3A
CCP110
GCOM1	MYZAP
ART1
ZBTB49
IPO4
TCF19
PHF15
KAZN
LRFN2
CER1
SORCS3
AP000350.4
KCNV2
TGS1
AC012414.1
KCNS2
CYP2F1
C12orf49
RNF152
JAK3
KCNN1
VPS41
SRRM5
NOA1
CACFD1
KCNJ12
C10orf90
IGHJ6
LAMP1
AQP7
PRRC2A
NACA
ASAP3
BCAR1
B4GALNT4
APBB2
GSTM5
RCBTB1
STARD6
ATP7A
ADCY10
SMAD7
RPS6KB2
SNAP91
ADCY7
CCIN
SATL1
UBC
TSEN2
RASSF7
ADAD1
GPNMB
PKD1
AGRN
HTRA1
IGSF10
MTMR7
TRBV7-8
KIAA1958
MTCH1
SARDH
SPATA31A6
CDIP1
SIK1
XRCC2
SGK1
AC011551.3
NLRP12
LCTL
CCDC144A
FKBP8
TOR1AIP2
DNAJB2
TRMT44
IGHV1-3
EVI2A
PIWIL4
ZNF565
SLIT2
PRAMEF1
IGHG2
CATSPER4
ACOT4
GTF3C5
GPC6
TNRC6C
CENPJ
BOC
GOLGA8I
MTFR2
ATAD3A
RHPN2
TRIM56
BAI1
RP11-17M16.1
NPR1
FANCM
GAS2L1
PPP2R2A
GBE1
CTD-2545M3.6	SPIB
TICAM1
CCDC66
AC010327.2	TMEM86B
IL11RA
KRT78
MUC2
FAM186A
LAMA2
MUC17
CNTNAP4
GRAP2
ELAC1
GPR68
TRGV3
ZNF778
FRMD1
RANBP10
MAGEC1
TCF3
PRR22
MECP2
MDC1
OSR2
SHROOM3
AHNAK
RNF138
ARHGAP44
RNPEPL1
RDH13
CSHL1	GH1
SLC6A18
LRRC16A
OCA2
ATM
FAM71E2
DMRT1
VWF
VNN1
DNAI2
TOMM70A
EID1
NFRKB
PSG6
LRP2BP
AKR1C3
NUP205
ZER1
FECH
IGSF9B
IGLJ3
GOLGA6L6
USP53
GP5
PITPNM2
APBA3
DDX24
VAV3
TRIM33
TNRC18
PXDNL
HR
TANC1
MYLK3
ZNRF1
GLIS3
GPR123
ERCC5
ISLR2
MYLK4
HAVCR1
BEND7
PROKR2
RIMS2
AQP8
AC011298.1
BTNL2
SIRT6
ELP5
PHF20
UMODL1
CDHR2
PLEKHG4B
KANK4
PABPN1L
TSHZ3
GPR101
RFX7
TSSC1
ITPR3
TRPV5
C1orf170
TRIM42
PAWR
CDKN1A
FGF6
LTA4H
PTPRF
CHD1
ACSS2
SLC22A25
GSDMD
CEP164
PACS1
CCDC74B
CXorf36
TLN1
FLYWCH2
OR1L4
IGHD3-16
OR51H1P
TTLL10
PIDD
CTD-2600O9.1
MYH11
KSR1
IGHD6-19
FTCD
ADAM8
GALK2
MAML3
CST1
AVL9
KCNK18
POLD4
APLNR
C1orf106
ATP13A4
MFAP3
RPE65
TAAR2
SMPDL3B
PLXDC2
OR5K4
OR4B1
TPSAB1
ARHGAP32
ATP2B4
CTD-2117L12.1
AP003062.1
TUBB8P7
GNAO1
MRPS30
IGLC3
SIGLEC10
WDR52
UGT2B10
IGHV3-53
MYOM2
LILRA2
ATP8B3
IGKJ3
IGKV1-9
KIF25
SP8
TST
HLA-A
RFPL3
FLOT1
ZNF221
TBC1D16
ASIC2
OR51M1
TENM2
SLC22A31
MTMR9
FGD4
CCDC157
CECR2
P2RX4
NPSR1
SPTLC2
FPR1
IGLV5-48
GPR162
BTBD16
CACNA1F
CLSTN3
SIM1
TEKT5
NPIPB11
PIH1D2
CRELD1
HMCN1
LEPREL1
NUP188
ANKK1
ASB5
DCXR
ARMCX4
TBATA
FLG2
MGA
PAPLN
RUFY1
NPC1
PRB1
SCNN1D
SUV420H2
GRB10
LRRC37B
MLLT6
DNAH1
RTN4
TBC1D26
SERPINA10
UNC45A
ADAMTS17
MLYCD
VIPR1
FCRL3
RFX6
LMOD3
RHCE
MAPKAPK2
MEOX1
H2BFM
AC093323.1
TCF20
ZNF816
LCN9
NLRP13
KRTAP9-7
GNGT1
GPR148
IGHD3-3
CCNB1IP1
SCGB1D2
SPTB
INPP5E
TRPM1
ETS2
DLGAP2
IGHV3-16
IL25
IGLV4-3
L1TD1
KRTAP2-4
SSBP4
GMIP
NPIPB6
SLC35F5
KRT81
NOTCH1
C5orf20
ARHGAP28
PKP3
CFTR
NBPF9
ADAMTS9
DUSP2
CEA	CEACAM5
NALCN
AL626787.1
ZYX
BRAP
HNF1A
CAND2
DBN1
FAM69C
C14orf166B
LILRA6
PELO
TRUB2
OR10H5
KRTAP5-5
FEM1A
WNT9A
MYBPC2
NLGN2
DPH2
LBX2
EXOSC5
MAN1A1
RPL28
PRAMEF6
FAT1
KRT39
APC2
ABCA12
GARNL3
HS1BP3
ZFR2
BPIFB4
CD69
POGK
BTNL9
OR10H3
S100Z
PIK3CB
TNK2
SMG6
ATAD3B
CDSN
C11orf30
RP1-228P16.5
AADAC
ADAT3
NFIB
NUDT18
OR1F1
ACAN
OR52W1
AC008060.7
NBPF12
FAM196A
PLCXD1
JPH3
ANKRD18A
FAM217A
KLHL33
CIB3
CR2
C9orf66	DOCK8
DNAH11
LRP8
GLI2
HSPB3
KLRG2
RAPH1
B3GNTL1
CSPG4
LTB
SKIDA1
FREM2
IGLV3-1
PDE4DIP
FAM21C
CD300LF
PCDHB5
MRGPRX1
